"","Estacao","Data","Hora","Precipitacao","TempMaxima","TempMinima","Insolacao","UR_Media","Vel_Vent_Media"
"70",83309,"05/02/1961",0,NA,32.3,NA,NA,81.5,1
"71",83309,"05/02/1961",1200,0.9,NA,22.2,NA,NA,NA
"72",83309,"06/02/1961",0,NA,33.2,NA,NA,66.75,2
"73",83309,"06/02/1961",1200,8.7,NA,20.8,NA,NA,NA
"74",83309,"07/02/1961",0,NA,33.3,NA,NA,78.25,4
"75",83309,"07/02/1961",1200,0,NA,21.2,NA,NA,NA
"76",83309,"08/02/1961",0,NA,31.6,NA,NA,82.25,0.333333
"77",83309,"08/02/1961",1200,3.8,NA,21.3,NA,NA,NA
"78",83309,"09/02/1961",0,NA,33.4,NA,NA,77.5,1
"79",83309,"09/02/1961",1200,0,NA,19.5,NA,NA,NA
"80",83309,"10/02/1961",0,NA,32.3,NA,NA,81,0.333333
"81",83309,"10/02/1961",1200,0,NA,22.6,NA,NA,NA
"82",83309,"11/02/1961",0,NA,31.8,NA,NA,82.25,2.333333
"83",83309,"11/02/1961",1200,0.8,NA,22.4,NA,NA,NA
"84",83309,"12/02/1961",0,NA,30.3,NA,NA,86,3
"85",83309,"12/02/1961",1200,6.1,NA,21.5,NA,NA,NA
"86",83309,"13/02/1961",0,NA,28.8,NA,NA,94.5,0.666667
"87",83309,"13/02/1961",1200,2.3,NA,21.6,NA,NA,NA
"88",83309,"14/02/1961",0,NA,32.6,NA,NA,83,1
"89",83309,"14/02/1961",1200,15.6,NA,21.6,NA,NA,NA
"90",83309,"15/02/1961",0,NA,29.4,NA,NA,87.75,1
"91",83309,"15/02/1961",1200,9.3,NA,22,NA,NA,NA
"92",83309,"16/02/1961",0,NA,29.4,NA,NA,90.75,0.666667
"93",83309,"16/02/1961",1200,0,NA,21.8,NA,NA,NA
"94",83309,"17/02/1961",0,NA,31.5,NA,NA,82.5,0.666667
"95",83309,"17/02/1961",1200,20.4,NA,21.7,NA,NA,NA
"96",83309,"18/02/1961",0,NA,31.6,NA,NA,83.25,1.333333
"97",83309,"18/02/1961",1200,0.4,NA,21.7,NA,NA,NA
"98",83309,"19/02/1961",0,NA,32.3,NA,NA,75.75,1.333333
"99",83309,"19/02/1961",1200,15,NA,22.2,NA,NA,NA
"100",83309,"20/02/1961",0,NA,30.1,NA,NA,89,0.666667
"101",83309,"20/02/1961",1200,0,NA,22.7,NA,NA,NA
"102",83309,"21/02/1961",0,NA,30.4,NA,NA,90,0.666667
"103",83309,"21/02/1961",1200,9.3,NA,22.8,NA,NA,NA
"104",83309,"22/02/1961",0,NA,30.2,NA,NA,92,0.666667
"105",83309,"22/02/1961",1200,4.6,NA,22.7,NA,NA,NA
"106",83309,"23/02/1961",0,NA,28.6,NA,NA,93.5,1.333333
"107",83309,"23/02/1961",1200,1.2,NA,22.9,NA,NA,NA
"108",83309,"24/02/1961",0,NA,31.4,NA,NA,84.25,0.333333
"109",83309,"24/02/1961",1200,42,NA,21.7,NA,NA,NA
"110",83309,"25/02/1961",0,NA,32,NA,NA,86,0.666667
"111",83309,"25/02/1961",1200,2.9,NA,21.5,NA,NA,NA
"112",83309,"26/02/1961",0,NA,30.2,NA,NA,87,0.333333
"113",83309,"26/02/1961",1200,11.1,NA,22.4,NA,NA,NA
"114",83309,"27/02/1961",0,NA,32.8,NA,NA,83.75,1
"115",83309,"27/02/1961",1200,2,NA,22.7,NA,NA,NA
"116",83309,"28/02/1961",0,NA,25.8,NA,NA,95,0.333333
"117",83309,"28/02/1961",1200,18.9,NA,22.2,NA,NA,NA
"118",83309,"01/03/1961",0,NA,32.8,NA,NA,81,0.333333
"119",83309,"01/03/1961",1200,12.3,NA,21.6,NA,NA,NA
"120",83309,"02/03/1961",0,NA,34.4,NA,NA,73,0.666667
"121",83309,"02/03/1961",1200,0,NA,21.6,NA,NA,NA
"122",83309,"03/03/1961",0,NA,34.6,NA,NA,75.25,1.666667
"123",83309,"03/03/1961",1200,0,NA,23.1,NA,NA,NA
"124",83309,"04/03/1961",0,NA,34.6,NA,NA,86,1.333333
"125",83309,"04/03/1961",1200,0,NA,21.3,NA,NA,NA
"126",83309,"05/03/1961",0,NA,31.4,NA,NA,89.5,1.666667
"127",83309,"05/03/1961",1200,5.3,NA,22.7,NA,NA,NA
"128",83309,"06/03/1961",0,NA,29.6,NA,NA,87.25,1.333333
"129",83309,"06/03/1961",1200,42.6,NA,22.5,NA,NA,NA
"130",83309,"07/03/1961",0,NA,28.6,NA,NA,92.25,0
"131",83309,"07/03/1961",1200,20.6,NA,22.7,NA,NA,NA
"132",83309,"08/03/1961",0,NA,26,NA,NA,92,1.666667
"133",83309,"08/03/1961",1200,35.6,NA,22,NA,NA,NA
"134",83309,"09/03/1961",0,NA,31.6,NA,NA,85,1.333333
"135",83309,"09/03/1961",1200,13.9,NA,22.5,NA,NA,NA
"136",83309,"10/03/1961",0,NA,34.7,NA,NA,84.5,0
"137",83309,"10/03/1961",1200,0.4,NA,22.6,NA,NA,NA
"138",83309,"11/03/1961",0,NA,33.6,NA,NA,86.5,0.333333
"139",83309,"11/03/1961",1200,13.6,NA,21.7,NA,NA,NA
"140",83309,"12/03/1961",0,NA,33.8,NA,NA,84.5,1.666667
"141",83309,"12/03/1961",1200,0.9,NA,22.7,NA,NA,NA
"142",83309,"13/03/1961",0,NA,30.6,NA,NA,88.25,0.333333
"143",83309,"13/03/1961",1200,28.8,NA,23.2,NA,NA,NA
"144",83309,"14/03/1961",0,NA,32,NA,NA,83.75,1.666667
"145",83309,"14/03/1961",1200,0,NA,22.6,NA,NA,NA
"146",83309,"15/03/1961",0,NA,34.1,NA,NA,80,0.333333
"147",83309,"15/03/1961",1200,11.8,NA,23,NA,NA,NA
"148",83309,"16/03/1961",0,NA,32.7,NA,NA,79,1.333333
"149",83309,"16/03/1961",1200,2.1,NA,21.6,NA,NA,NA
"150",83309,"17/03/1961",0,NA,31.6,NA,NA,85.75,5
"151",83309,"17/03/1961",1200,0.2,NA,19.5,NA,NA,NA
"152",83309,"18/03/1961",0,NA,23.8,NA,NA,94.5,3
"153",83309,"18/03/1961",1200,49.2,NA,18.3,NA,NA,NA
"154",83309,"19/03/1961",0,NA,27.7,NA,NA,83.75,2.333333
"155",83309,"19/03/1961",1200,1.3,NA,19,NA,NA,NA
"156",83309,"20/03/1961",0,NA,31.3,NA,NA,78.75,0.666667
"157",83309,"20/03/1961",1200,0.2,NA,18.9,NA,NA,NA
"158",83309,"21/03/1961",0,NA,31.2,NA,NA,93.75,0
"159",83309,"21/03/1961",1200,0,NA,21,NA,NA,NA
"160",83309,"22/03/1961",0,NA,34,NA,NA,80.25,2.333333
"161",83309,"22/03/1961",1200,26.4,NA,21.6,NA,NA,NA
"162",83309,"23/03/1961",0,NA,35.4,NA,NA,77.5,1
"163",83309,"23/03/1961",1200,0.5,NA,22.1,NA,NA,NA
"164",83309,"24/03/1961",0,NA,35,NA,NA,74.25,0.333333
"165",83309,"24/03/1961",1200,0,NA,22,NA,NA,NA
"166",83309,"25/03/1961",0,NA,34.8,NA,NA,75.5,2
"167",83309,"25/03/1961",1200,0,NA,23.5,NA,NA,NA
"168",83309,"26/03/1961",0,NA,33.6,NA,NA,88.75,1.666667
"169",83309,"26/03/1961",1200,1.1,NA,22.6,NA,NA,NA
"170",83309,"27/03/1961",0,NA,33.4,NA,NA,85,1.666667
"171",83309,"27/03/1961",1200,1.9,NA,21.3,NA,NA,NA
"172",83309,"28/03/1961",0,NA,32.6,NA,NA,79.5,0.333333
"173",83309,"28/03/1961",1200,40.1,NA,21.6,NA,NA,NA
"174",83309,"29/03/1961",0,NA,34.9,NA,NA,74.5,0
"175",83309,"29/03/1961",1200,0,NA,21.2,NA,NA,NA
"176",83309,"30/03/1961",0,NA,33.6,NA,NA,76.5,0.666667
"177",83309,"30/03/1961",1200,0,NA,22.4,NA,NA,NA
"178",83309,"31/03/1961",0,NA,33.1,NA,NA,84.75,0.666667
"179",83309,"31/03/1961",1200,37.2,NA,21.2,NA,NA,NA
"180",83309,"01/04/1961",0,NA,33,NA,NA,79.5,2.333333
"181",83309,"01/04/1961",1200,3.1,NA,21.2,NA,NA,NA
"182",83309,"02/04/1961",0,NA,32.3,NA,NA,82.75,2.333333
"183",83309,"02/04/1961",1200,2.5,NA,23,NA,NA,NA
"184",83309,"03/04/1961",0,NA,32.4,NA,NA,78.75,2.333333
"185",83309,"03/04/1961",1200,0.4,NA,21.6,NA,NA,NA
"186",83309,"04/04/1961",0,NA,34,NA,NA,74.25,1.333333
"187",83309,"04/04/1961",1200,0,NA,21.7,NA,NA,NA
"188",83309,"05/04/1961",0,NA,32.2,NA,NA,84.5,1.333333
"189",83309,"05/04/1961",1200,0,NA,22.1,NA,NA,NA
"190",83309,"06/04/1961",0,NA,33.6,NA,NA,84,1.333333
"191",83309,"06/04/1961",1200,12.2,NA,21.4,NA,NA,NA
"192",83309,"07/04/1961",0,NA,35,NA,NA,75.25,1.333333
"193",83309,"07/04/1961",1200,0,NA,20.4,NA,NA,NA
"194",83309,"08/04/1961",0,NA,34.9,NA,NA,72,1.333333
"195",83309,"08/04/1961",1200,0,NA,21.4,NA,NA,NA
"196",83309,"09/04/1961",0,NA,33.4,NA,NA,79.75,0.666667
"197",83309,"09/04/1961",1200,0,NA,21.6,NA,NA,NA
"198",83309,"10/04/1961",0,NA,35,NA,NA,73.25,0.666667
"199",83309,"10/04/1961",1200,0,NA,21.7,NA,NA,NA
"200",83309,"11/04/1961",0,NA,33.6,NA,NA,80.5,1
"201",83309,"11/04/1961",1200,0,NA,21.7,NA,NA,NA
"202",83309,"12/04/1961",0,NA,34.8,NA,NA,72.5,0.333333
"203",83309,"12/04/1961",1200,0,NA,21.5,NA,NA,NA
"204",83309,"13/04/1961",0,NA,33.8,NA,NA,80.5,1.333333
"205",83309,"13/04/1961",1200,0,NA,22.4,NA,NA,NA
"206",83309,"14/04/1961",0,NA,34.4,NA,NA,78.25,0.333333
"207",83309,"14/04/1961",1200,0.9,NA,21.3,NA,NA,NA
"208",83309,"15/04/1961",0,NA,33.2,NA,NA,82,1.666667
"209",83309,"15/04/1961",1200,0,NA,21.8,NA,NA,NA
"210",83309,"16/04/1961",0,NA,32.6,NA,NA,83,1
"211",83309,"16/04/1961",1200,0,NA,21.9,NA,NA,NA
"212",83309,"17/04/1961",0,NA,34.6,NA,NA,76.25,0.666667
"213",83309,"17/04/1961",1200,0,NA,23,NA,NA,NA
"214",83309,"18/04/1961",0,NA,26.6,NA,NA,93.5,0.666667
"215",83309,"18/04/1961",1200,5.5,NA,22.8,NA,NA,NA
"216",83309,"19/04/1961",0,NA,32.2,NA,NA,81.75,1.333333
"217",83309,"19/04/1961",1200,0.9,NA,21.7,NA,NA,NA
"218",83309,"20/04/1961",0,NA,26.2,NA,NA,93.5,0.333333
"219",83309,"20/04/1961",1200,0,NA,22.6,NA,NA,NA
"220",83309,"21/04/1961",0,NA,30.4,NA,NA,85.5,0.666667
"221",83309,"21/04/1961",1200,3.4,NA,22.2,NA,NA,NA
"222",83309,"22/04/1961",0,NA,32.2,NA,NA,76.5,2
"223",83309,"22/04/1961",1200,0,NA,21.8,NA,NA,NA
"224",83309,"23/04/1961",0,NA,30.4,NA,NA,83.5,1.333333
"225",83309,"23/04/1961",1200,0,NA,21.9,NA,NA,NA
"226",83309,"24/04/1961",0,NA,29.9,NA,NA,86.5,1.333333
"227",83309,"24/04/1961",1200,0,NA,23,NA,NA,NA
"228",83309,"25/04/1961",0,NA,32,NA,NA,82.25,0.666667
"229",83309,"25/04/1961",1200,0,NA,21,NA,NA,NA
"230",83309,"26/04/1961",0,NA,31.5,NA,NA,86.5,0.666667
"231",83309,"26/04/1961",1200,3.8,NA,22.5,NA,NA,NA
"232",83309,"27/04/1961",0,NA,30,NA,NA,83.75,1
"233",83309,"27/04/1961",1200,0,NA,22.1,NA,NA,NA
"234",83309,"28/04/1961",0,NA,32.9,NA,NA,80.25,0.333333
"235",83309,"28/04/1961",1200,0,NA,22.7,NA,NA,NA
"236",83309,"29/04/1961",0,NA,30.4,NA,NA,87.5,0.333333
"237",83309,"29/04/1961",1200,49,NA,21.1,NA,NA,NA
"238",83309,"30/04/1961",0,NA,33,NA,NA,80.25,0.333333
"239",83309,"30/04/1961",1200,0.3,NA,21,NA,NA,NA
"240",83309,"01/05/1961",0,NA,34,NA,NA,75.75,0.666667
"241",83309,"01/05/1961",1200,0.2,NA,22.1,NA,NA,NA
"242",83309,"02/05/1961",0,NA,31.8,NA,NA,88.25,0.333333
"243",83309,"02/05/1961",1200,0,NA,22.2,NA,NA,NA
"244",83309,"03/05/1961",0,NA,31,NA,NA,82.75,1.333333
"245",83309,"03/05/1961",1200,1.5,NA,22.1,NA,NA,NA
"246",83309,"04/05/1961",0,NA,30.4,NA,NA,86,0.666667
"247",83309,"04/05/1961",1200,0,NA,21.4,NA,NA,NA
"248",83309,"05/05/1961",0,NA,33.6,NA,NA,74.5,2.333333
"249",83309,"05/05/1961",1200,0,NA,21.6,NA,NA,NA
"250",83309,"06/05/1961",0,NA,32.6,NA,NA,78.25,2
"251",83309,"06/05/1961",1200,0,NA,22,NA,NA,NA
"252",83309,"07/05/1961",0,NA,32.2,NA,NA,90,1.666667
"253",83309,"07/05/1961",1200,0,NA,21.5,NA,NA,NA
"254",83309,"08/05/1961",0,NA,27.4,NA,NA,85.5,1.333333
"255",83309,"08/05/1961",1200,55.8,NA,20.7,NA,NA,NA
"256",83309,"09/05/1961",0,NA,32.4,NA,NA,82.5,0.666667
"257",83309,"09/05/1961",1200,0,NA,20.5,NA,NA,NA
"258",83309,"10/05/1961",0,NA,31,NA,NA,78.25,1
"259",83309,"10/05/1961",1200,0,NA,20.7,NA,NA,NA
"260",83309,"11/05/1961",0,NA,32.2,NA,NA,83.25,1.333333
"261",83309,"11/05/1961",1200,0,NA,21.2,NA,NA,NA
"262",83309,"12/05/1961",0,NA,31.7,NA,NA,90.5,0
"263",83309,"12/05/1961",1200,20.4,NA,21.9,NA,NA,NA
"264",83309,"13/05/1961",0,NA,31.5,NA,NA,84,0.666667
"265",83309,"13/05/1961",1200,1.3,NA,21.5,NA,NA,NA
"266",83309,"14/05/1961",0,NA,32.5,NA,NA,81.75,0.666667
"267",83309,"14/05/1961",1200,4.8,NA,21.7,NA,NA,NA
"268",83309,"15/05/1961",0,NA,32.2,NA,NA,73,2
"269",83309,"15/05/1961",1200,0,NA,19.7,NA,NA,NA
"270",83309,"16/05/1961",0,NA,32.3,NA,NA,76.5,0.666667
"271",83309,"16/05/1961",1200,0,NA,20,NA,NA,NA
"272",83309,"17/05/1961",0,NA,33.3,NA,NA,75.25,1.666667
"273",83309,"17/05/1961",1200,0,NA,21.6,NA,NA,NA
"274",83309,"18/05/1961",0,NA,31.4,NA,NA,84.5,3
"275",83309,"18/05/1961",1200,0,NA,22,NA,NA,NA
"276",83309,"19/05/1961",0,NA,26.8,NA,NA,85,3.333333
"277",83309,"19/05/1961",1200,0,NA,21.7,NA,NA,NA
"278",83309,"20/05/1961",0,NA,25.6,NA,NA,77.25,3
"279",83309,"20/05/1961",1200,0.6,NA,18.5,NA,NA,NA
"280",83309,"21/05/1961",0,NA,30.6,NA,NA,81.25,1.333333
"281",83309,"21/05/1961",1200,0,NA,16.8,NA,NA,NA
"282",83309,"22/05/1961",0,NA,33.9,NA,NA,79.25,0
"283",83309,"22/05/1961",1200,0,NA,18.5,NA,NA,NA
"284",83309,"23/05/1961",0,NA,31.6,NA,NA,83.25,0
"285",83309,"23/05/1961",1200,0,NA,19.7,NA,NA,NA
"286",83309,"24/05/1961",0,NA,32.6,NA,NA,82.5,1.666667
"287",83309,"24/05/1961",1200,2.5,NA,20.1,NA,NA,NA
"288",83309,"25/05/1961",0,NA,32.7,NA,NA,76,0.333333
"289",83309,"25/05/1961",1200,0,NA,19,NA,NA,NA
"290",83309,"26/05/1961",0,NA,32.4,NA,NA,70.75,0
"291",83309,"26/05/1961",1200,0,NA,15.7,NA,NA,NA
"292",83309,"27/05/1961",0,NA,32.6,NA,NA,73.75,1.666667
"293",83309,"27/05/1961",1200,0,NA,16,NA,NA,NA
"294",83309,"28/05/1961",0,NA,32,NA,NA,71.5,0.333333
"295",83309,"28/05/1961",1200,0,NA,16.2,NA,NA,NA
"296",83309,"29/05/1961",0,NA,31.3,NA,NA,75,1.333333
"297",83309,"29/05/1961",1200,0,NA,15.4,NA,NA,NA
"298",83309,"30/05/1961",0,NA,33,NA,NA,74.75,0.666667
"299",83309,"30/05/1961",1200,0,NA,19.5,NA,NA,NA
"300",83309,"31/05/1961",0,NA,32.1,NA,NA,78.75,1
"301",83309,"31/05/1961",1200,0,NA,21.4,NA,NA,NA
"302",83309,"01/06/1961",0,NA,32.9,NA,NA,77,1
"303",83309,"01/06/1961",1200,0,NA,20.7,NA,NA,NA
"304",83309,"02/06/1961",0,NA,31.8,NA,NA,75.75,1.666667
"305",83309,"02/06/1961",1200,1.8,NA,19.6,NA,NA,NA
"306",83309,"03/06/1961",0,NA,32,NA,NA,74,2.666667
"307",83309,"03/06/1961",1200,0,NA,19,NA,NA,NA
"308",83309,"04/06/1961",0,NA,32.1,NA,NA,75,2
"309",83309,"04/06/1961",1200,0,NA,20.5,NA,NA,NA
"310",83309,"05/06/1961",0,NA,33.2,NA,NA,72,1.333333
"311",83309,"05/06/1961",1200,0,NA,19.9,NA,NA,NA
"312",83309,"06/06/1961",0,NA,33.2,NA,NA,73.75,1.666667
"313",83309,"06/06/1961",1200,0,NA,18.9,NA,NA,NA
"314",83309,"07/06/1961",0,NA,32.4,NA,NA,72.25,1.666667
"315",83309,"07/06/1961",1200,0,NA,20,NA,NA,NA
"316",83309,"08/06/1961",0,NA,31.9,NA,NA,71.5,1
"317",83309,"08/06/1961",1200,0,NA,19.2,NA,NA,NA
"318",83309,"09/06/1961",0,NA,32.4,NA,NA,65.75,1.333333
"319",83309,"09/06/1961",1200,0,NA,18.5,NA,NA,NA
"320",83309,"10/06/1961",0,NA,32.6,NA,NA,66.5,1
"321",83309,"10/06/1961",1200,0,NA,19.7,NA,NA,NA
"322",83309,"11/06/1961",0,NA,23.4,NA,NA,81.5,3
"323",83309,"11/06/1961",1200,0,NA,16.1,NA,NA,NA
"324",83309,"12/06/1961",0,NA,22.6,NA,NA,81.25,2.333333
"325",83309,"12/06/1961",1200,0,NA,14.1,NA,NA,NA
"326",83309,"13/06/1961",0,NA,22.6,NA,NA,80.5,3
"327",83309,"13/06/1961",1200,0,NA,14.1,NA,NA,NA
"328",83309,"14/06/1961",0,NA,19.6,NA,NA,85,2.333333
"329",83309,"14/06/1961",1200,0.5,NA,13.1,NA,NA,NA
"330",83309,"15/06/1961",0,NA,18,NA,NA,84,3
"331",83309,"15/06/1961",1200,0.4,NA,11.1,NA,NA,NA
"332",83309,"16/06/1961",0,NA,20,NA,NA,78.25,3
"333",83309,"16/06/1961",1200,0,NA,11.6,NA,NA,NA
"334",83309,"17/06/1961",0,NA,26.6,NA,NA,78,0.666667
"335",83309,"17/06/1961",1200,0,NA,14.2,NA,NA,NA
"336",83309,"18/06/1961",0,NA,32.6,NA,NA,65.5,0.666667
"337",83309,"18/06/1961",1200,0,NA,12.7,NA,NA,NA
"338",83309,"19/06/1961",0,NA,32.7,NA,NA,69,1
"339",83309,"19/06/1961",1200,0,NA,16.6,NA,NA,NA
"340",83309,"20/06/1961",0,NA,32.4,NA,NA,66,0.666667
"341",83309,"20/06/1961",1200,0,NA,18,NA,NA,NA
"342",83309,"21/06/1961",0,NA,31.4,NA,NA,73.75,0
"343",83309,"21/06/1961",1200,0,NA,16.5,NA,NA,NA
"344",83309,"22/06/1961",0,NA,33.3,NA,NA,73,1.666667
"345",83309,"22/06/1961",1200,0,NA,16.7,NA,NA,NA
"346",83309,"23/06/1961",0,NA,32.6,NA,NA,73.25,0.666667
"347",83309,"23/06/1961",1200,0,NA,16.7,NA,NA,NA
"348",83309,"24/06/1961",0,NA,32,NA,NA,66.5,0.666667
"349",83309,"24/06/1961",1200,0,NA,15.5,NA,NA,NA
"350",83309,"25/06/1961",0,NA,32,NA,NA,69.5,2.666667
"351",83309,"25/06/1961",1200,0,NA,16.1,NA,NA,NA
"352",83309,"26/06/1961",0,NA,32.2,NA,NA,63.5,1.333333
"353",83309,"26/06/1961",1200,0,NA,18,NA,NA,NA
"354",83309,"27/06/1961",0,NA,31.8,NA,NA,61,3
"355",83309,"27/06/1961",1200,0,NA,18,NA,NA,NA
"356",83309,"28/06/1961",0,NA,32.8,NA,NA,67.75,2
"357",83309,"28/06/1961",1200,0,NA,18,NA,NA,NA
"358",83309,"29/06/1961",0,NA,33.6,NA,NA,64.75,1.333333
"359",83309,"29/06/1961",1200,0,NA,17.4,NA,NA,NA
"360",83309,"30/06/1961",0,NA,33,NA,NA,64,1.333333
"361",83309,"30/06/1961",1200,0,NA,17.1,NA,NA,NA
"362",83309,"01/07/1961",0,NA,32.7,NA,NA,62.75,1.666667
"363",83309,"01/07/1961",1200,0,NA,18,NA,NA,NA
"364",83309,"02/07/1961",0,NA,32.2,NA,NA,62.75,2.333333
"365",83309,"02/07/1961",1200,0,NA,16.6,NA,NA,NA
"366",83309,"03/07/1961",0,NA,32.5,NA,NA,66.75,0.333333
"367",83309,"03/07/1961",1200,0,NA,15.3,NA,NA,NA
"368",83309,"04/07/1961",0,NA,31.8,NA,NA,67.5,2
"369",83309,"04/07/1961",1200,0,NA,15.7,NA,NA,NA
"370",83309,"05/07/1961",0,NA,32,NA,NA,65.25,2
"371",83309,"05/07/1961",1200,0,NA,16.5,NA,NA,NA
"372",83309,"06/07/1961",0,NA,32,NA,NA,64.75,2
"373",83309,"06/07/1961",1200,0,NA,16.8,NA,NA,NA
"374",83309,"07/07/1961",0,NA,32.6,NA,NA,69.5,0
"375",83309,"07/07/1961",1200,0,NA,15.5,NA,NA,NA
"376",83309,"08/07/1961",0,NA,22.2,NA,NA,77.75,2.666667
"377",83309,"08/07/1961",1200,0,NA,16,NA,NA,NA
"378",83309,"09/07/1961",0,NA,21.2,NA,NA,84.75,1
"379",83309,"09/07/1961",1200,0,NA,13.6,NA,NA,NA
"380",83309,"10/07/1961",0,NA,23.6,NA,NA,85.5,1.333333
"381",83309,"10/07/1961",1200,0,NA,14.2,NA,NA,NA
"382",83309,"11/07/1961",0,NA,30,NA,NA,79.25,0.333333
"383",83309,"11/07/1961",1200,0,NA,14.8,NA,NA,NA
"384",83309,"12/07/1961",0,NA,33.2,NA,NA,59.75,2
"385",83309,"12/07/1961",1200,0,NA,13.5,NA,NA,NA
"386",83309,"13/07/1961",0,NA,32.9,NA,NA,57,4
