"","Estacao","Data","Hora","Precipitacao","TempMaxima","TempMinima","Insolacao","Evaporacao_Piche","Temp_Comp_Media","UR_Media","Vel_Vent_Media","NA"
"68",83309,"04/02/1961",0,NA,33.2,NA,NA,NA,25.56,81.5,1,NA
"69",83309,"04/02/1961",1200,5.8,NA,20,NA,NA,NA,NA,NA,NA
"70",83309,"05/02/1961",0,NA,32.3,NA,NA,2.5,25.58,81.5,1,NA
"71",83309,"05/02/1961",1200,0.9,NA,22.2,NA,NA,NA,NA,NA,NA
"72",83309,"06/02/1961",0,NA,33.2,NA,NA,2.4,26.54,66.75,2,NA
"73",83309,"06/02/1961",1200,8.7,NA,20.8,NA,NA,NA,NA,NA,NA
"74",83309,"07/02/1961",0,NA,33.3,NA,NA,5.5,26.1,78.25,4,NA
"75",83309,"07/02/1961",1200,0,NA,21.2,NA,NA,NA,NA,NA,NA
"76",83309,"08/02/1961",0,NA,31.6,NA,NA,3.5,25.18,82.25,0.333333,NA
"77",83309,"08/02/1961",1200,3.8,NA,21.3,NA,NA,NA,NA,NA,NA
"78",83309,"09/02/1961",0,NA,33.4,NA,NA,2.1,26.26,77.5,1,NA
"79",83309,"09/02/1961",1200,0,NA,19.5,NA,NA,NA,NA,NA,NA
"80",83309,"10/02/1961",0,NA,32.3,NA,NA,3.4,26.92,81,0.333333,NA
"81",83309,"10/02/1961",1200,0,NA,22.6,NA,NA,NA,NA,NA,NA
"82",83309,"11/02/1961",0,NA,31.8,NA,NA,2.4,26.12,82.25,2.333333,NA
"83",83309,"11/02/1961",1200,0.8,NA,22.4,NA,NA,NA,NA,NA,NA
"84",83309,"12/02/1961",0,NA,30.3,NA,NA,2.4,24.4,86,3,NA
"85",83309,"12/02/1961",1200,6.1,NA,21.5,NA,NA,NA,NA,NA,NA
"86",83309,"13/02/1961",0,NA,28.8,NA,NA,1.7,24.12,94.5,0.666667,NA
"87",83309,"13/02/1961",1200,2.3,NA,21.6,NA,NA,NA,NA,NA,NA
"88",83309,"14/02/1961",0,NA,32.6,NA,NA,1,25.26,83,1,NA
"89",83309,"14/02/1961",1200,15.6,NA,21.6,NA,NA,NA,NA,NA,NA
"90",83309,"15/02/1961",0,NA,29.4,NA,NA,2.4,24.22,87.75,1,NA
"91",83309,"15/02/1961",1200,9.3,NA,22,NA,NA,NA,NA,NA,NA
"92",83309,"16/02/1961",0,NA,29.4,NA,NA,1.3,24.56,90.75,0.666667,NA
"93",83309,"16/02/1961",1200,0,NA,21.8,NA,NA,NA,NA,NA,NA
"94",83309,"17/02/1961",0,NA,31.5,NA,NA,1.3,25.16,82.5,0.666667,NA
"95",83309,"17/02/1961",1200,20.4,NA,21.7,NA,NA,NA,NA,NA,NA
"96",83309,"18/02/1961",0,NA,31.6,NA,NA,2.5,25.46,83.25,1.333333,NA
"97",83309,"18/02/1961",1200,0.4,NA,21.7,NA,NA,NA,NA,NA,NA
"98",83309,"19/02/1961",0,NA,32.3,NA,NA,2.3,26.48,75.75,1.333333,NA
"99",83309,"19/02/1961",1200,15,NA,22.2,NA,NA,NA,NA,NA,NA
"100",83309,"20/02/1961",0,NA,30.1,NA,NA,2.4,25.28,89,0.666667,NA
"101",83309,"20/02/1961",1200,0,NA,22.7,NA,NA,NA,NA,NA,NA
"102",83309,"21/02/1961",0,NA,30.4,NA,NA,1.7,25.2,90,0.666667,NA
"103",83309,"21/02/1961",1200,9.3,NA,22.8,NA,NA,NA,NA,NA,NA
"104",83309,"22/02/1961",0,NA,30.2,NA,NA,1.6,25.08,92,0.666667,NA
"105",83309,"22/02/1961",1200,4.6,NA,22.7,NA,NA,NA,NA,NA,NA
"106",83309,"23/02/1961",0,NA,28.6,NA,NA,1.4,24.88,93.5,1.333333,NA
"107",83309,"23/02/1961",1200,1.2,NA,22.9,NA,NA,NA,NA,NA,NA
"108",83309,"24/02/1961",0,NA,31.4,NA,NA,1.2,24.76,84.25,0.333333,NA
"109",83309,"24/02/1961",1200,42,NA,21.7,NA,NA,NA,NA,NA,NA
"110",83309,"25/02/1961",0,NA,32,NA,NA,2,25,86,0.666667,NA
"111",83309,"25/02/1961",1200,2.9,NA,21.5,NA,NA,NA,NA,NA,NA
"112",83309,"26/02/1961",0,NA,30.2,NA,NA,2.6,25.12,87,0.333333,NA
"113",83309,"26/02/1961",1200,11.1,NA,22.4,NA,NA,NA,NA,NA,NA
"114",83309,"27/02/1961",0,NA,32.8,NA,NA,2.1,25.54,83.75,1,NA
"115",83309,"27/02/1961",1200,2,NA,22.7,NA,NA,NA,NA,NA,NA
"116",83309,"28/02/1961",0,NA,25.8,NA,NA,2.5,23.32,95,0.333333,NA
"117",83309,"28/02/1961",1200,18.9,NA,22.2,NA,NA,NA,NA,NA,NA
"118",83309,"01/03/1961",0,NA,32.8,NA,NA,0.5,25.92,81,0.333333,NA
"119",83309,"01/03/1961",1200,12.3,NA,21.6,NA,NA,NA,NA,NA,NA
"120",83309,"02/03/1961",0,NA,34.4,NA,NA,2.3,27.08,73,0.666667,NA
"121",83309,"02/03/1961",1200,0,NA,21.6,NA,NA,NA,NA,NA,NA
"122",83309,"03/03/1961",0,NA,34.6,NA,NA,3.6,27.58,75.25,1.666667,NA
"123",83309,"03/03/1961",1200,0,NA,23.1,NA,NA,NA,NA,NA,NA
"124",83309,"04/03/1961",0,NA,34.6,NA,NA,3.2,26.98,86,1.333333,NA
"125",83309,"04/03/1961",1200,0,NA,21.3,NA,NA,NA,NA,NA,NA
"126",83309,"05/03/1961",0,NA,31.4,NA,NA,2.9,24.9,89.5,1.666667,NA
"127",83309,"05/03/1961",1200,5.3,NA,22.7,NA,NA,NA,NA,NA,NA
"128",83309,"06/03/1961",0,NA,29.6,NA,NA,1.4,25,87.25,1.333333,NA
"129",83309,"06/03/1961",1200,42.6,NA,22.5,NA,NA,NA,NA,NA,NA
"130",83309,"07/03/1961",0,NA,28.6,NA,NA,2,24.72,92.25,0,NA
"131",83309,"07/03/1961",1200,20.6,NA,22.7,NA,NA,NA,NA,NA,NA
"132",83309,"08/03/1961",0,NA,26,NA,NA,0.9,23.48,92,1.666667,NA
"133",83309,"08/03/1961",1200,35.6,NA,22,NA,NA,NA,NA,NA,NA
"134",83309,"09/03/1961",0,NA,31.6,NA,NA,1,25.56,85,1.333333,NA
"135",83309,"09/03/1961",1200,13.9,NA,22.5,NA,NA,NA,NA,NA,NA
"136",83309,"10/03/1961",0,NA,34.7,NA,NA,2.3,25.6,84.5,0,NA
"137",83309,"10/03/1961",1200,0.4,NA,22.6,NA,NA,NA,NA,NA,NA
"138",83309,"11/03/1961",0,NA,33.6,NA,NA,1.9,26.22,86.5,0.333333,NA
"139",83309,"11/03/1961",1200,13.6,NA,21.7,NA,NA,NA,NA,NA,NA
"140",83309,"12/03/1961",0,NA,33.8,NA,NA,2.7,26.32,84.5,1.666667,NA
"141",83309,"12/03/1961",1200,0.9,NA,22.7,NA,NA,NA,NA,NA,NA
"142",83309,"13/03/1961",0,NA,30.6,NA,NA,2.3,25.6,88.25,0.333333,NA
"143",83309,"13/03/1961",1200,28.8,NA,23.2,NA,NA,NA,NA,NA,NA
"144",83309,"14/03/1961",0,NA,32,NA,NA,1.8,26.22,83.75,1.666667,NA
"145",83309,"14/03/1961",1200,0,NA,22.6,NA,NA,NA,NA,NA,NA
"146",83309,"15/03/1961",0,NA,34.1,NA,NA,2.4,26.7,80,0.333333,NA
"147",83309,"15/03/1961",1200,11.8,NA,23,NA,NA,NA,NA,NA,NA
"148",83309,"16/03/1961",0,NA,32.7,NA,NA,2.6,26.16,79,1.333333,NA
"149",83309,"16/03/1961",1200,2.1,NA,21.6,NA,NA,NA,NA,NA,NA
"150",83309,"17/03/1961",0,NA,31.6,NA,NA,3.8,23.26,85.75,5,NA
"151",83309,"17/03/1961",1200,0.2,NA,19.5,NA,NA,NA,NA,NA,NA
"152",83309,"18/03/1961",0,NA,23.8,NA,NA,2.4,20.44,94.5,3,NA
"153",83309,"18/03/1961",1200,49.2,NA,18.3,NA,NA,NA,NA,NA,NA
"154",83309,"19/03/1961",0,NA,27.7,NA,NA,0.9,22.6,83.75,2.333333,NA
"155",83309,"19/03/1961",1200,1.3,NA,19,NA,NA,NA,NA,NA,NA
"156",83309,"20/03/1961",0,NA,31.3,NA,NA,2,24.32,78.75,0.666667,NA
"157",83309,"20/03/1961",1200,0.2,NA,18.9,NA,NA,NA,NA,NA,NA
"158",83309,"21/03/1961",0,NA,31.2,NA,NA,2.9,24.32,93.75,0,NA
"159",83309,"21/03/1961",1200,0,NA,21,NA,NA,NA,NA,NA,NA
"160",83309,"22/03/1961",0,NA,34,NA,NA,1.4,26.44,80.25,2.333333,NA
